,formula,target
8790,Ba0.99Ca0.01Mo4Bi2O16,700.0
686,Ba1.9Nd0.1YCu3O,950.0
8503,Zr0.682Ti1.136Nb0.667Ni0.333O3,1200.0
5904,Ca2.97Ho0.03Co2O6,1000.0
3001,Ba2La3.2Si6O26,1350.0
4052,Ti0.6Nb0.16Mn0.08PbSb0.16O3,1230.0
10697,Lu5.4Al5O12,1825.0
3773,Ca1.25Ce0.5Ti1.25TaO7,1350.0
4440,Na2Mg2NdV3O12,900.0
10042,Ca0.37Ce0.03La0.6MnO3,1300.0
8618,Zr0.6TiNb0.4Ni0.2O3,1200.0
5779,SrTa0.01Co0.99O3,1100.0
4015,Sr0.97Yb0.1Ce0.9O3,1450.0
2816,Ti2.955Nb0.045Bi4O12,1050.0
3610,Sr0.23La0.77InO3,1400.0
1988,MgGa2O4,1400.0
8948,K2Y0.3WPO8,900.0
3802,BaYbCo4O7,1100.0
3334,Ba0.99TiCd0.01O3,1150.0
7795,Ba0.9Sr0.9Zr0.3Ti0.6Mn0.1O3,1600.0
8115,Zr0.682Ti0.909O3,1200.0
7179,Sr2MoFe0.9Ni0.1O6,1100.0
4937,Ba2SrP2O8,1250.0
5623,Y1.95WO6,1350.0
8856,Yb2Ce2O7,1600.0
2696,Ba3Ca1.18Nb1.82O8.73,1566.6666666666667
10317,Sr0.6Gd0.267Ti4Bi4O15,1050.0
6321,Ca0.4Mg0.6La0.6Ti3Al7.4O18,1500.0
10949,Ba0.75Sr1.25Ca0.312Y0.688Cu2.531O,970.0
10027,Sr0.95Y0.05Fe12O19,1200.0
6125,Ba1.85La0.15Fe2O5,1200.0
5760,Be0.4Zn0.6O,1200.0
10767,Ba0.97TiNi0.03O3,1300.0
2928,Sr0.7Y0.3CoO3,1125.0
2295,K2Mo2H2O9,650.0
5037,Ba2.991Ce0.009P4O13,800.0
6844,Ba0.08Ca0.92TiO3,1400.0
6515,SrMnO2.58,1500.0
9368,Sr0.25Mg0.1La0.75Mn0.9O3,1200.0
6878,Ba1.2Nd0.8InO3.9,1400.0
5993,Sr2Mn1.2Fe12Cu0.8O22,1150.0
8084,Zr0.704Ti0.528Nb0.4Ni0.2O3,1200.0
2304,Cr0.083Al0.083,750.0
8913,Ba0.93Ca0.01Zr0.02Ti0.98Bi0.04O3,1450.0
8438,Zr0.909Ti0.682Nb0.534Ni0.266O3,1200.0
2439,Sm0.02Zn0.98O,1200.0
10528,Na0.5La0.5Ti7Bi8O27,1040.0
4568,Sr2Co1.2Ga0.8O5,1100.0
10915,Na3Zr1.9Ni0.1Si2PO11.9,1250.0
3057,LaCr0.1Mn0.9O3,1050.0
6266,Sr0.2La0.8FeO3,1387.5
1903,La0.2Mn0.5Fe0.5Bi0.8O3,960.0
1651,YMn0.76Fe0.19Al0.05O3,1450.0
9960,K0.05Sr0.35Pr0.6MnO3,1100.0
1438,TbMn0.9Al0.1O3,1200.0
5230,Sr0.2Mg0.2La0.8Co0.04Ga0.76O3,1450.0
4040,CaTi0.5Fe0.5O3,1470.0
8782,Gd0.02Ce0.98O2,1600.0
5129,Ti0.85Nb0.1Ni0.05O2,1360.0
6996,Sr0.8La0.2VO3,1500.0
2778,Na0.01Sr2.98Ce0.01Al2O5Cl2,1000.0
8425,Ti0.6Nb0.667Ni0.333O3,1200.0
11307,Ba0.9Ca0.1TiFe0.02O3,1350.0
5528,Gd0.95Al3B4O12,1100.0
623,BaCrO,1080.0
4335,Ca5P3O12Cl,1100.0
3553,Fe1.93Ni0.37Zn0.63O4,1100.0
717,Ba0.9Sr0.1Zr0.1Ti0.9O3,1200.0
9395,Sm0.3La1.7Mo2O9,900.0
3572,Ce0.05Y2.95GaAl4O12,1500.0
5659,Gd2Ti2O7,1446.4285714285713
9352,Fe1.7NiAl0.3O4,1200.0
3077,Sr2HoMoCu2O8,950.0
4407,Ba3Tb0.05Ce0.08La0.87P3O12,1250.0
5081,Zn3Ga2GeSiO10,1300.0
4756,BaYMn2O5,1500.0
10323,MgZrTa2O8,1450.0
1489,Mg0.6Rh0.4Ag0.2Cu0.8O2,930.0
6927,Eu0.4Y3.6AlSiNO8,1650.0
6304,CaMgAl10O18,1500.0
3981,Ba0.03Mg0.25La0.97Ga0.75O3,1550.0
5171,BaZr0.055Ti0.945O3,1350.0
10289,Ba2Yb0.3Dy0.7AlO5,1450.0
888,Ba2Fe12Cu2O22,1200.0
6790,Na0.48Yb0.12Co2O4,920.0
2362,Co0.1Zn0.9O,1111.6666666666667
579,La0.4Mn1.2Bi0.4O3,1020.0
1009,Fe1.2Cu1.4Ge0.4O4,1000.0
471,La0.2MnBi0.6O3,1020.0
